id;einheit_id;angriff_id;anzahl
262;4;154;57
263;3;220;262
264;4;598;173
265;6;995;298
266;2;206;140
267;3;637;261
268;4;752;153
269;8;50;117
270;7;496;121
271;6;502;24
272;2;496;177
273;4;798;227
274;8;825;34
275;9;441;77
276;3;391;197
277;6;872;268
278;8;685;93
279;6;421;40
280;2;88;16
281;3;78;295
282;3;826;81
283;6;60;238
284;4;125;65
285;4;903;67
286;5;132;20
287;7;350;108
288;6;834;227
289;5;562;195
290;7;860;238
291;5;31;42
292;2;450;189
293;5;25;279
294;7;37;229
295;8;513;263
296;3;578;200
297;5;987;202
298;7;442;2
299;2;46;239
300;8;445;76
301;4;550;203
302;2;546;67
303;2;629;79
304;4;773;226
305;3;675;114
306;2;688;218
307;6;156;228
308;5;973;209
309;8;453;61
310;4;885;288
311;2;993;137
312;7;682;194
313;4;922;127
314;3;585;9
315;4;210;35
316;3;222;271
317;6;164;132
318;8;977;179
319;7;317;115
320;9;703;116
321;9;900;62
322;2;333;61
323;3;459;251
324;7;299;216
325;2;35;208
326;4;623;211
327;7;21;202
328;5;154;163
329;9;841;283
330;8;819;183
331;9;708;11
332;2;834;121
333;6;684;281
334;9;776;26
335;5;439;193
336;2;43;37
337;3;285;245
338;2;707;176
339;7;683;5
340;2;615;165
341;9;809;200
342;7;61;267
343;9;516;251
344;3;795;217
345;5;694;287
346;2;620;312
347;2;301;93
348;5;816;91
349;4;716;207
350;4;56;204
351;2;754;165
352;7;280;94
353;2;538;300
354;9;480;111
355;4;803;139
356;6;282;117
357;4;301;299
358;7;741;311
359;5;449;170
360;5;673;218
361;9;393;149
362;3;977;24
363;4;556;62
364;6;605;3
365;3;16;319
366;5;475;47
367;5;788;246
368;3;395;167
369;3;304;96
370;8;455;146
371;3;77;8
372;8;89;149
373;5;998;182
374;6;220;82
375;5;591;94
376;7;391;47
377;7;60;174
378;4;578;257
379;2;541;173
380;2;984;8
381;8;465;21
382;5;177;92
383;8;77;275
384;4;851;254
385;9;96;87
386;9;221;245
387;2;15;156
388;9;554;230
389;9;333;272
390;8;967;183
391;7;227;13
392;3;50;33
393;8;233;271
394;5;277;255
395;2;423;55
396;2;482;73
397;4;526;162
398;4;619;85
399;5;495;247
400;9;646;266
401;8;879;177
402;9;137;156
403;3;229;92
404;9;802;265
405;5;192;198
406;6;378;320
407;9;491;3
408;8;661;38
409;5;188;94
410;4;984;30
411;3;71;311
412;8;429;103
413;6;77;298
414;8;417;79
415;5;275;83
416;5;299;265
417;4;284;301
418;4;594;123
419;3;566;177
420;9;313;54
421;6;561;310
422;7;696;77
423;8;794;108
424;5;131;7
425;3;542;317
426;7;899;43
427;7;522;67
428;2;184;128
429;3;107;53
430;6;980;202
431;2;619;122
432;3;576;37
433;6;42;258
434;5;60;49
435;8;182;77
436;7;253;208
437;3;524;294
438;5;316;172
439;5;646;187
440;5;302;168
441;8;272;314
442;8;388;165
443;4;546;151
444;3;870;274
445;2;741;318
446;6;64;202
447;4;927;235
448;2;694;237
449;4;99;317
450;3;4;307
451;3;23;25
452;7;721;176
453;3;572;128
454;3;704;28
455;7;458;227
456;8;451;132
457;2;562;310
458;3;474;238
459;9;743;104
460;9;819;136
461;2;89;230
462;6;743;6
463;2;682;271
464;9;931;40
465;3;902;103
466;8;602;88
467;8;787;168
468;5;845;173
469;3;195;93
470;6;897;174
471;2;524;119
472;4;445;170
473;9;837;304
474;2;606;131
475;2;295;151
476;4;988;199
477;2;34;139
478;9;792;65
479;7;688;14
480;8;221;165
481;6;791;56
482;9;154;179
483;5;505;162
484;6;813;54
485;6;992;319
486;9;56;64
487;4;588;165
488;6;831;99
489;2;67;133
490;2;883;131
491;5;727;37
492;9;557;165
493;4;458;295
494;3;658;92
495;8;606;289
496;2;264;287
497;4;146;218
498;8;195;154
499;8;593;188
500;4;347;151
501;7;143;45
502;7;372;89
503;5;772;253
504;9;74;165
505;3;264;126
506;3;503;22
507;9;815;129
508;4;751;45
509;8;309;211
510;3;518;261
511;6;986;258
512;9;943;84
513;5;405;258
514;4;976;232
515;7;898;279
516;5;266;244
517;2;190;68
518;9;874;94
519;7;351;238
520;8;262;87
521;3;514;212
522;9;657;293
523;8;52;104
524;2;221;161
525;4;57;216
526;4;943;58
527;9;252;77
528;7;758;33
529;9;57;199
530;9;868;177
531;6;868;3
532;7;416;55
533;5;661;25
534;3;383;289
535;7;954;38
536;6;686;5
537;9;840;208
538;2;883;166
539;5;860;219
540;5;495;255
541;2;711;306
542;2;554;184
543;7;590;156
544;6;150;157
545;9;777;122
546;6;518;195
547;2;179;112
548;9;508;51
549;3;642;177
550;2;847;47
551;7;569;127
552;5;156;200
553;2;251;181
554;8;651;90
555;2;594;126
556;8;13;100
557;5;435;165
558;2;550;219
559;9;245;66
560;6;896;8
561;2;285;127
562;3;933;167
563;5;871;170
564;4;195;289
565;5;152;221
566;4;366;159
567;9;453;195
568;9;405;215
569;8;51;172
570;9;745;2
571;9;699;252
572;9;322;93
573;3;476;6
574;5;444;115
575;7;477;171
576;3;770;215
577;8;34;159
578;3;238;163
579;3;658;98
580;4;274;215
581;6;836;266
582;4;623;184
583;9;480;21
584;5;354;222
585;6;928;207
586;8;239;176
587;7;584;48
588;4;302;289
589;6;423;39
590;2;344;254
591;5;993;297
592;2;261;268
593;9;303;296
594;6;800;189
595;2;879;98
596;8;949;251
597;8;659;233
598;2;383;251
599;4;742;207
600;5;458;103
601;2;370;243
602;7;519;158
603;3;309;124
604;7;393;283
605;4;11;253
606;3;305;54
607;8;95;25
608;4;118;91
609;3;564;208
610;9;376;154
611;6;690;88
612;6;645;303
613;5;125;42
614;5;952;40
615;8;374;173
616;7;473;54
617;3;842;296
618;7;767;160
619;9;292;257
620;6;353;215
621;7;309;258
622;8;140;246
623;6;717;6
624;2;165;129
625;7;492;50
626;9;535;296
627;2;839;100
628;8;408;70
629;6;498;117
630;6;919;46
631;8;680;247
632;6;218;152
633;2;635;67
634;8;186;101
635;2;274;263
636;9;412;148
637;7;458;275
638;8;982;276
639;5;40;53
640;8;717;151
641;4;123;240
642;5;608;199
643;3;9;271
644;4;993;285
645;4;36;68
646;7;929;142
647;2;374;207
648;7;648;43
649;4;159;6
650;4;284;54
651;9;203;313
652;5;499;109
653;5;543;184
654;3;80;116
655;5;477;193
656;2;885;233
657;6;9;8
658;3;717;307
659;5;418;211
660;5;305;248
661;4;319;257
662;4;63;313
663;4;328;87
664;3;47;53
665;3;886;286
666;8;555;310
667;4;292;1
668;9;198;53
669;5;171;291
670;6;496;133
671;8;322;99
672;8;383;174
673;6;215;289
674;4;872;12
675;6;732;231
676;8;462;117
677;5;940;47
678;4;451;24
679;3;353;19
680;6;295;204
681;2;300;211
682;9;793;138
683;8;336;181
684;7;703;4
685;4;97;168
686;6;225;71
687;7;271;287
688;5;961;172
689;6;719;181
690;4;739;290
691;2;454;156
692;7;900;109
693;3;817;152
694;8;741;266
695;8;475;198
696;7;295;261
697;3;198;191
698;4;745;67
699;3;58;309
700;7;996;236
701;9;419;205
702;7;175;113
703;3;98;211
704;8;812;219
705;2;145;280
706;7;360;53
707;5;624;237
708;3;437;257
709;2;642;184
710;9;1;319
711;5;215;142
712;8;583;154
713;2;205;176
714;7;629;64
715;2;373;4
716;8;377;294
717;3;449;171
718;8;74;20
719;2;953;279
720;2;110;92
721;6;566;199
722;6;893;270
723;4;952;303
724;7;535;253
725;6;776;143
726;5;449;73
727;6;257;205
728;9;607;159
729;5;169;63
730;7;952;97
731;8;411;86
732;3;364;16
733;8;146;271
734;9;658;117
735;9;526;33
736;5;860;143
737;4;394;180
738;2;621;195
739;7;646;49
740;8;727;240
741;3;401;73
742;6;715;40
743;3;928;80
744;3;228;319
745;2;578;80
746;6;780;116
747;6;927;151
748;3;18;59
749;4;348;189
750;9;835;263
751;7;909;180
752;3;650;123
753;9;78;171
754;8;227;319
755;5;103;179
756;7;103;206
757;5;733;44
758;6;484;217
759;9;243;236
760;4;97;240
761;9;660;137
762;8;442;175
763;7;687;235
764;6;742;294
765;7;843;1
766;2;491;289
767;2;46;168
768;6;358;157
769;8;658;54
770;6;636;30
771;9;817;96
772;3;888;277
773;5;48;69
774;5;893;69
775;9;575;214
776;4;24;134
777;4;17;284
778;5;794;169
779;8;746;99
780;3;722;318
781;5;436;224
782;4;432;134
783;3;746;36
784;9;891;62
785;7;732;37
786;7;691;261
787;6;646;139
788;2;364;271
789;6;255;317
790;5;733;181
791;7;92;304
792;7;879;214
793;3;164;12
794;6;162;215
795;7;247;113
796;4;704;47
797;5;132;47
798;8;855;261
799;2;134;117
800;3;110;209
801;2;918;318
802;6;207;174
803;3;59;17
804;7;758;312
805;7;385;59
806;2;830;45
807;5;560;71
808;8;880;76
809;9;243;32
810;2;319;20
811;7;142;245
812;2;174;19
813;6;928;234
814;9;999;209
815;4;934;269
816;2;903;31
817;7;828;7
818;8;355;187
819;4;733;274
820;3;572;80
821;6;475;288
822;8;115;281
823;7;804;98
824;6;492;213
825;7;89;240
826;8;66;139
827;6;992;172
828;6;36;124
829;9;822;305
830;8;537;102
831;6;735;234
832;3;827;91
833;7;730;169
834;3;423;110
835;8;711;287
836;2;532;233
837;3;119;142
838;2;769;158
839;2;946;11
840;8;268;103
841;2;527;75
842;6;968;294
843;6;433;6
844;2;535;105
845;5;326;311
846;8;142;129
847;3;946;229
848;9;157;205
849;8;314;280
850;3;278;234
851;6;543;1
852;5;185;40
853;9;23;301
854;9;181;188
855;7;992;302
856;8;219;93
857;2;793;136
858;7;440;117
859;5;483;106
860;7;785;164
861;4;989;76
862;3;993;316
863;8;930;124
864;3;952;37
865;8;771;101
866;6;112;261
867;7;406;320
868;9;444;95
869;3;278;179
870;3;513;314
871;4;434;303
872;4;732;233
873;3;173;228
874;9;715;116
875;5;812;313
876;3;462;251
877;9;965;159
878;9;712;243
879;4;803;97
880;9;739;17
881;6;706;159
882;4;197;243
883;9;159;312
884;7;167;157
885;8;242;105
886;8;841;219
887;4;567;138
888;5;829;211
889;6;287;167
890;5;981;37
891;5;573;160
892;5;504;204
893;7;163;303
894;6;150;224
895;3;411;83
896;4;972;311
897;2;837;109
898;7;884;187
899;3;726;187
900;5;603;306
901;5;204;62
902;3;438;187
903;3;816;251
904;9;727;232
905;8;254;282
906;4;62;140
907;5;804;6
908;7;401;239
909;6;235;113
910;5;650;132
911;3;179;51
912;8;54;47
913;4;523;82
914;8;911;3
915;8;459;167
916;5;991;63
917;4;865;139
918;8;948;261
919;9;378;194
920;7;892;42
921;9;139;135
922;5;275;196
923;5;962;229
924;4;428;33
925;3;485;173
926;7;364;100
927;6;316;23
928;8;109;308
929;9;262;8
930;2;42;66
931;9;2;124
932;6;606;261
933;4;424;202
934;8;98;315
935;2;246;244
936;6;361;217
937;8;517;123
938;6;805;306
939;3;984;186
940;2;928;268
941;7;877;273
942;9;655;158
943;8;300;266
944;3;868;116
945;3;607;124
946;7;10;62
947;4;337;10
948;2;495;54
949;5;526;303
950;9;805;309
951;7;930;101
952;6;478;288
953;4;808;84
954;8;262;300
955;2;446;310
956;3;658;201
957;4;172;275
958;4;741;263
959;8;647;278
960;6;247;94
961;8;397;175
962;9;151;85
963;8;28;123
964;8;118;222
965;2;844;319
966;6;65;274
967;9;917;132
968;2;269;207
969;7;282;83
970;7;192;152
971;9;793;318
972;8;731;149
973;6;950;207
974;2;374;140
975;7;74;46
976;9;491;275
977;7;194;227
978;9;864;288
979;8;750;108
980;9;191;139
981;8;282;56
982;5;293;154
983;2;198;115
984;3;338;146
985;8;477;192
986;7;42;281
987;6;418;96
988;8;786;97
989;9;3;95
990;9;839;180
991;8;344;52
992;5;374;274
993;6;594;222
994;3;617;85
995;7;986;177
996;2;851;11
997;9;534;301
998;7;820;124
999;6;28;226
1000;9;512;7
1001;2;73;24
1002;8;785;179
1003;7;219;194
1004;5;893;153
1005;9;487;250
1006;3;785;72
1007;9;765;19
1008;2;767;68
1009;7;80;94
1010;2;982;225
1011;7;667;254
1012;9;775;30
1013;2;128;53
1014;9;544;305
1015;7;891;52
1016;3;226;141
1017;3;536;172
1018;4;33;26
1019;7;914;167
1020;5;180;68
1021;6;482;262
1022;6;83;81
1023;7;723;96
1024;3;108;269
1025;2;584;145
1026;7;449;227
1027;9;900;79
1028;6;840;285
1029;4;149;202
1030;9;781;275
1031;4;123;119
1032;9;804;237
1033;4;229;115
1034;4;275;314
1035;9;54;174
1036;4;195;209
1037;8;799;209
1038;7;875;290
1039;9;144;120
1040;8;734;232
1041;3;751;151
1042;9;269;251
1043;3;479;68
1044;7;825;181
1045;9;90;135
1046;9;204;303
1047;5;722;144
1048;7;86;214
1049;4;334;43
1050;3;916;134
1051;3;319;142
1052;2;151;163
1053;5;114;240
1054;8;140;54
1055;8;849;297
1056;8;623;317
1057;9;917;147
1058;4;272;119
1059;2;548;46
1060;5;56;308
1061;2;303;167
1062;7;766;71
1063;5;480;288
1064;8;184;148
1065;2;900;295
1066;9;540;282
1067;4;442;290
1068;9;664;152
1069;9;74;190
1070;2;233;258
1071;2;607;24
1072;6;922;248
1073;6;950;150
1074;5;942;226
1075;7;263;237
1076;6;34;292
1077;3;254;197
1078;9;413;249
1079;3;104;163
1080;6;108;2
1081;6;131;188
1082;7;226;301
1083;7;866;190
1084;8;846;76
1085;7;69;181
1086;9;631;229
1087;4;770;62
1088;6;497;18
1089;2;342;309
1090;5;237;104
1091;5;761;171
1092;8;710;154
1093;3;95;89
1094;7;248;46
1095;4;313;267
1096;6;809;264
1097;5;625;83
1098;4;595;266
1099;2;25;221
1100;7;242;192
1101;6;960;1
1102;3;68;12
1103;6;745;243
1104;9;636;11
1105;8;16;62
1106;7;272;317
1107;3;810;306
1108;6;110;127
1109;3;777;65
1110;3;563;154
1111;6;969;173
1112;2;665;57
1113;6;689;224
1114;3;909;258
1115;6;849;45
1116;2;220;205
1117;6;955;182
1118;7;144;161
1119;4;825;25
1120;2;787;158
1121;6;55;77
1122;5;913;116
1123;7;595;140
1124;5;629;186
1125;5;693;15
1126;9;363;216
1127;3;927;148
1128;9;433;274
1129;8;113;117
1130;2;651;93
1131;4;15;165
1132;7;962;4
1133;2;856;262
1134;9;606;49
1135;9;169;94
1136;8;189;235
1137;6;462;250
1138;7;695;255
1139;8;299;318
1140;6;603;123
1141;7;287;65
1142;6;232;8
1143;5;541;60
1144;2;659;317
1145;2;682;68
1146;9;848;244
1147;5;298;291
1148;6;709;262
1149;2;416;126
1150;2;479;30
1151;5;154;54
1152;5;254;291
1153;7;375;205
1154;2;973;312
1155;4;118;138
1156;7;155;314
1157;7;70;258
1158;2;979;84
1159;8;337;167
1160;8;185;175
1161;2;995;59
1162;6;435;223
1163;2;628;300
1164;8;29;152
1165;2;945;152
1166;2;627;97
1167;5;821;126
1168;8;915;122
1169;3;513;189
1170;6;545;214
1171;6;148;175
1172;3;674;275
1173;4;880;298
1174;3;920;245
1175;3;924;226
1176;6;668;141
1177;3;387;223
1178;5;501;21
1179;2;311;73
1180;5;416;232
1181;6;865;243
1182;7;593;206
1183;4;902;226
1184;8;689;179
1185;6;523;51
1186;9;816;3
1187;3;759;306
1188;6;152;199
1189;7;982;306
1190;6;951;152
1191;4;356;61
1192;6;972;220
1193;4;710;215
1194;9;92;262
1195;2;142;7
1196;4;455;56
1197;6;207;162
1198;5;686;310
1199;5;788;72
1200;2;168;154
1201;3;13;51
1202;9;23;6
1203;5;137;11
1204;9;511;65
1205;5;3;140
1206;3;373;315
1207;6;333;9
1208;5;72;83
1209;3;952;98
1210;3;465;104
1211;7;855;4
1212;7;989;239
1213;7;987;241
1214;2;921;232
1215;6;345;210
1216;8;646;188
1217;3;880;100
1218;2;508;240
1219;6;242;216
1220;9;521;55
1221;4;348;106
1222;9;153;18
1223;6;204;29
1224;4;561;72
1225;9;234;39
1226;7;800;81
1227;9;654;216
1228;2;571;128
1229;2;45;179
1230;6;186;226
1231;9;761;3
1232;8;843;52
1233;3;793;202
1234;5;681;165
1235;2;716;268
1236;4;309;290
1237;5;658;6
1238;8;390;283
1239;6;282;260
1240;7;214;279
1241;7;649;283
1242;7;73;257
1243;6;933;78
1244;7;837;80
1245;8;767;152
1246;8;680;222
1247;6;153;210
1248;8;384;189
1249;8;47;304
1250;6;729;95
1251;5;282;138
1252;5;654;103
1253;8;716;236
1254;2;467;306
1255;7;900;313
1256;9;139;23
1257;6;917;223
1258;5;257;206
1259;2;811;131
1260;8;129;178
1261;5;957;127
1262;3;221;108
1263;3;716;89
1264;3;159;14
1265;5;537;127
1266;8;128;255
1267;8;496;229
1268;8;350;152
1269;7;673;183
1270;8;565;209
1271;6;629;299
1272;3;649;199
1273;3;611;200
1274;3;748;19
1275;5;338;100
1276;8;658;52
1277;6;221;258
1278;3;286;21
1279;9;106;149
1280;2;986;267
1281;4;129;282
1282;2;19;77
1283;7;617;83
1284;8;228;35
1285;8;589;179
1286;9;265;259
1287;8;97;137
1288;8;477;74
1289;7;940;96
1290;5;462;29
1291;4;690;182
1292;2;206;125
1293;5;750;4
1294;6;191;202
1295;5;989;17
1296;8;10;233
1297;6;192;243
1298;5;732;12
1299;8;876;300
1300;5;910;45
1301;3;812;57
1302;4;651;106
1303;5;640;223
1304;8;155;13
1305;6;791;62
1306;4;600;305
1307;8;958;211
1308;6;427;283
1309;9;160;111
1310;2;442;301
1311;9;358;228
1312;3;446;272
1313;3;624;3
1314;9;284;281
1315;5;89;109
1316;6;195;250
1317;8;504;179
1318;7;949;75
1319;8;162;8
1320;3;547;111
1321;7;715;228
1322;7;162;32
1323;3;261;82
1324;3;381;147
1325;8;337;263
1326;8;575;20
1327;2;83;203
1328;2;459;71
1329;4;902;72
1330;3;674;33
1331;2;643;111
1332;9;320;125
1333;2;450;145
1334;8;976;259
1335;6;237;136
1336;3;548;157
1337;4;736;105
1338;8;43;126
1339;2;901;313
1340;2;822;308
1341;5;138;280
1342;5;313;97
1343;8;421;302
1344;4;729;60
1345;5;196;7
1346;8;391;216
1347;7;473;193
1348;5;75;14
1349;6;522;273
1350;5;436;39
1351;9;352;223
1352;7;351;117
1353;7;182;12
1354;9;848;225
1355;3;198;225
1356;7;930;293
1357;9;755;151
1358;8;231;31
1359;9;852;105
1360;4;100;284
1361;8;592;114
1362;9;310;307
1363;5;839;130
1364;5;960;158
1365;4;274;101
1366;4;214;211
1367;9;358;162
1368;8;252;233
1369;7;319;7
1370;5;625;191
1371;6;916;130
1372;4;700;45
1373;9;618;149
1374;6;5;281
1375;2;716;147
1376;2;794;26
1377;6;932;223
1378;7;340;10
1379;6;639;166
1380;6;700;102
1381;9;617;120
1382;8;279;155
1383;9;625;149
1384;6;706;228
1385;3;574;10
1386;8;953;162
1387;8;881;99
1388;9;568;147
1389;8;992;199
1390;4;71;32
1391;8;269;226
1392;2;639;205
1393;3;884;317
1394;2;922;95
1395;8;901;24
1396;7;667;90
1397;7;716;178
1398;4;742;161
1399;5;758;250
1400;8;533;176
1401;4;554;125
1402;7;585;13
1403;6;825;56
1404;2;93;257
1405;9;510;103
1406;8;134;285
1407;6;986;109
1408;8;756;233
1409;4;446;42
1410;3;649;158
1411;8;42;92
1412;7;827;99
1413;2;720;183
1414;6;157;31
1415;6;696;102
1416;9;187;118
1417;6;713;43
1418;6;140;168
1419;8;879;82
1420;8;461;207
1421;5;743;118
1422;3;634;154
1423;5;806;253
1424;4;242;100
1425;8;252;215
1426;5;764;242
1427;5;192;120
1428;2;560;201
1429;4;843;237
1430;3;643;14
1431;3;329;85
1432;2;227;276
1433;4;623;109
1434;9;948;103
1435;9;569;143
1436;7;926;25
1437;4;857;270
1438;9;76;265
1439;3;734;290
1440;3;208;80
1441;2;257;186
1442;6;881;286
1443;2;909;51
1444;4;196;228
