id;angriff_id;anzahl;res
512;416;343;Holz
187;417;631;Eisen
488;417;582;Holz
824;417;187;Holz
497;418;611;Eisen
720;418;455;Holz
115;419;299;Eisen
853;419;693;Lehm
183;420;302;Holz
560;420;271;Lehm
309;423;795;Holz
795;426;151;Eisen
872;429;919;Eisen
313;431;732;Lehm
464;432;340;Eisen
121;433;158;Eisen
935;434;893;Lehm
75;438;372;Lehm
79;440;872;Holz
776;441;400;Holz
47;442;415;Holz
341;444;336;Lehm
527;444;905;Lehm
130;445;945;Eisen
558;446;393;Lehm
804;446;740;Eisen
453;449;751;Holz
445;451;843;Lehm
629;452;198;Eisen
635;454;763;Eisen
881;456;513;Eisen
936;458;573;Holz
977;458;451;Lehm
280;459;719;Lehm
247;462;217;Holz
797;462;621;Eisen
284;464;483;Eisen
238;465;870;Holz
919;465;460;Eisen
993;465;949;Eisen
630;466;455;Lehm
601;467;582;Lehm
419;469;837;Holz
537;469;311;Lehm
257;471;633;Eisen
897;473;285;Lehm
982;474;999;Holz
885;475;718;Holz
659;476;322;Eisen
435;477;930;Holz
979;477;210;Lehm
602;478;695;Lehm
880;479;344;Holz
989;480;215;Lehm
995;481;817;Eisen
50;483;425;Eisen
62;483;663;Eisen
385;483;207;Holz
459;484;155;Eisen
956;484;947;Holz
673;485;102;Eisen
690;486;779;Eisen
444;487;188;Eisen
473;488;209;Holz
893;488;980;Lehm
838;489;429;Lehm
319;490;810;Lehm
331;490;759;Eisen
725;490;141;Eisen
963;491;530;Eisen
849;492;874;Lehm
718;497;385;Eisen
348;500;367;Holz
347;501;633;Holz
251;502;447;Lehm
589;506;808;Eisen
600;508;111;Holz
651;508;507;Lehm
787;508;440;Lehm
692;509;451;Eisen
126;510;557;Eisen
283;510;869;Lehm
823;511;958;Holz
861;511;371;Eisen
70;512;200;Holz
448;512;401;Holz
879;514;241;Eisen
783;516;920;Eisen
343;517;253;Lehm
905;519;928;Eisen
94;521;647;Lehm
213;521;527;Lehm
278;522;829;Eisen
806;523;353;Eisen
360;525;742;Lehm
546;526;267;Lehm
886;526;740;Eisen
922;526;367;Eisen
689;531;123;Eisen
833;531;372;Lehm
644;532;491;Holz
894;532;999;Lehm
606;533;923;Eisen
752;534;270;Eisen
962;534;633;Holz
52;536;854;Lehm
177;536;471;Eisen
619;537;712;Lehm
994;537;184;Holz
170;538;186;Holz
733;539;752;Eisen
623;540;645;Holz
751;540;282;Eisen
163;543;516;Holz
376;543;375;Lehm
289;547;113;Lehm
750;547;419;Lehm
801;547;816;Lehm
999;547;177;Lehm
498;548;799;Lehm
803;548;521;Lehm
953;548;277;Holz
542;549;995;Eisen
191;551;653;Lehm
274;551;384;Eisen
781;551;836;Holz
211;552;890;Lehm
260;552;268;Holz
622;552;222;Holz
736;552;827;Eisen
754;552;391;Eisen
648;554;689;Lehm
291;555;747;Lehm
234;556;230;Holz
682;556;172;Lehm
903;557;815;Holz
667;558;579;Eisen
216;559;217;Lehm
67;560;503;Eisen
159;560;655;Lehm
378;560;701;Holz
742;561;431;Holz
802;561;682;Holz
90;563;863;Holz
422;564;787;Holz
54;566;118;Eisen
390;568;828;Eisen
353;569;527;Lehm
817;571;837;Eisen
997;575;756;Lehm
88;578;133;Holz
816;578;674;Eisen
949;578;264;Lehm
140;580;594;Eisen
825;583;606;Eisen
847;584;806;Eisen
433;585;650;Eisen
658;586;864;Holz
228;588;544;Eisen
405;591;661;Holz
454;591;317;Eisen
357;592;453;Eisen
570;595;697;Holz
826;596;611;Lehm
455;597;670;Eisen
796;597;442;Lehm
811;598;820;Eisen
157;599;722;Lehm
647;599;527;Eisen
678;599;766;Lehm
92;600;704;Holz
599;600;405;Lehm
666;600;480;Eisen
5;601;648;Lehm
271;601;708;Lehm
585;601;164;Holz
739;602;597;Holz
711;603;878;Lehm
308;604;743;Lehm
726;607;726;Eisen
57;608;129;Lehm
300;608;970;Lehm
828;608;546;Holz
717;609;538;Eisen
694;610;628;Eisen
912;610;817;Holz
46;611;407;Holz
468;611;208;Lehm
449;612;404;Lehm
142;614;782;Holz
346;614;987;Holz
490;614;659;Holz
954;615;573;Holz
196;618;145;Eisen
214;619;748;Eisen
724;619;618;Holz
758;620;989;Eisen
136;623;218;Lehm
926;623;221;Eisen
224;624;899;Eisen
671;624;222;Holz
798;625;774;Eisen
785;627;456;Lehm
436;628;389;Eisen
508;628;402;Lehm
983;630;611;Lehm
916;632;250;Eisen
507;633;837;Holz
246;634;622;Eisen
827;635;539;Lehm
364;636;136;Lehm
536;636;852;Eisen
7;637;837;Holz
339;637;935;Lehm
539;638;743;Eisen
391;640;831;Holz
272;641;851;Lehm
696;641;764;Holz
745;641;485;Holz
114;642;738;Lehm
789;643;348;Eisen
21;644;154;Eisen
9;645;695;Holz
370;645;331;Eisen
27;647;973;Holz
757;648;488;Eisen
765;648;541;Eisen
766;649;361;Eisen
856;649;866;Eisen
118;651;283;Eisen
185;651;998;Eisen
342;652;485;Lehm
440;652;766;Eisen
760;652;152;Holz
904;654;643;Holz
290;656;917;Lehm
218;657;939;Eisen
244;657;135;Holz
930;662;463;Holz
842;665;237;Eisen
12;666;698;Lehm
383;667;652;Eisen
964;667;157;Holz
208;668;214;Eisen
210;668;161;Eisen
68;669;656;Holz
420;671;616;Lehm
896;671;733;Holz
489;672;298;Holz
786;672;221;Lehm
961;672;556;Holz
252;674;736;Eisen
662;674;571;Lehm
414;675;802;Lehm
480;676;766;Holz
743;676;131;Lehm
438;677;676;Holz
51;678;852;Holz
240;678;997;Lehm
182;679;240;Lehm
596;679;973;Eisen
199;680;788;Holz
764;680;309;Lehm
338;681;963;Eisen
552;681;501;Holz
767;682;980;Holz
294;683;118;Eisen
474;686;733;Holz
967;687;319;Eisen
868;688;962;Holz
569;691;564;Eisen
222;692;149;Lehm
590;692;343;Lehm
650;692;221;Lehm
732;693;125;Holz
723;694;507;Lehm
452;695;487;Eisen
869;695;991;Holz
486;699;646;Holz
345;700;955;Holz
582;703;641;Holz
990;705;236;Lehm
242;706;754;Eisen
482;706;486;Holz
521;706;536;Holz
154;707;360;Eisen
704;709;618;Eisen
279;710;895;Eisen
679;710;409;Eisen
908;710;431;Eisen
691;711;228;Eisen
835;711;830;Lehm
147;712;855;Lehm
407;712;873;Holz
99;714;799;Holz
144;717;970;Lehm
483;717;522;Lehm
76;718;713;Lehm
350;718;538;Eisen
171;719;831;Eisen
788;719;626;Eisen
404;720;453;Lehm
882;721;507;Lehm
43;725;174;Eisen
36;726;740;Eisen
477;726;772;Holz
762;726;672;Eisen
756;728;339;Lehm
887;729;668;Eisen
40;730;561;Eisen
761;730;766;Lehm
117;733;800;Holz
334;733;831;Holz
610;734;964;Holz
808;735;700;Holz
263;737;381;Lehm
616;738;104;Lehm
992;738;271;Eisen
352;740;889;Eisen
425;740;910;Lehm
397;741;933;Lehm
669;741;198;Lehm
270;744;910;Lehm
587;744;644;Holz
33;745;298;Lehm
71;746;514;Holz
870;747;174;Lehm
523;748;917;Eisen
37;749;613;Holz
81;750;103;Holz
4;751;385;Holz
166;751;675;Lehm
277;751;174;Holz
96;752;563;Lehm
138;752;302;Holz
986;752;255;Eisen
865;754;530;Holz
293;755;562;Holz
430;755;721;Holz
848;755;979;Eisen
719;756;266;Holz
330;757;752;Eisen
156;758;270;Holz
59;759;463;Holz
86;762;419;Eisen
152;762;677;Eisen
501;763;651;Lehm
680;764;748;Lehm
302;765;292;Lehm
398;765;894;Eisen
17;766;519;Eisen
128;766;136;Eisen
141;766;172;Lehm
836;766;197;Eisen
53;767;929;Eisen
656;769;391;Holz
715;769;533;Lehm
966;770;818;Holz
106;772;665;Eisen
119;772;893;Lehm
618;772;318;Eisen
945;774;874;Eisen
969;774;693;Lehm
93;777;965;Holz
565;779;828;Holz
74;780;222;Holz
975;781;199;Eisen
755;782;929;Lehm
135;783;481;Eisen
379;784;863;Eisen
889;784;871;Eisen
841;785;702;Lehm
875;785;249;Lehm
409;787;614;Holz
770;788;691;Lehm
469;790;681;Holz
200;793;101;Eisen
485;793;939;Lehm
380;795;655;Eisen
526;795;863;Eisen
100;796;394;Holz
333;796;213;Eisen
792;796;278;Eisen
506;797;969;Holz
883;797;187;Lehm
559;799;228;Holz
759;800;795;Holz
768;804;839;Eisen
844;804;982;Lehm
368;807;297;Lehm
520;808;348;Lehm
275;809;737;Lehm
532;809;309;Eisen
794;809;223;Lehm
315;811;456;Holz
332;812;278;Lehm
918;812;120;Eisen
29;813;154;Eisen
607;813;875;Lehm
773;818;365;Eisen
439;819;497;Lehm
557;819;742;Lehm
175;821;573;Eisen
98;822;764;Lehm
810;822;732;Eisen
821;822;663;Eisen
634;830;373;Lehm
958;831;137;Eisen
82;832;684;Holz
418;832;961;Eisen
180;833;911;Holz
431;833;811;Lehm
544;837;929;Lehm
146;838;317;Eisen
78;839;636;Holz
127;839;906;Lehm
434;839;636;Holz
528;841;395;Eisen
162;843;455;Lehm
355;843;346;Lehm
516;844;785;Lehm
164;845;720;Holz
15;846;612;Lehm
42;846;679;Lehm
831;846;243;Lehm
923;846;986;Lehm
867;849;214;Lehm
450;852;330;Holz
874;852;261;Holz
201;853;847;Eisen
14;854;597;Lehm
321;855;477;Lehm
335;855;152;Lehm
365;855;930;Holz
85;856;179;Lehm
633;856;386;Lehm
13;860;724;Lehm
221;860;699;Lehm
48;861;520;Lehm
655;861;290;Lehm
741;862;844;Holz
460;863;593;Holz
581;864;935;Holz
686;864;972;Eisen
822;864;311;Lehm
529;865;972;Eisen
665;866;857;Eisen
577;867;151;Lehm
730;867;392;Holz
35;868;625;Eisen
693;868;595;Lehm
1;871;953;Eisen
225;872;932;Eisen
375;872;844;Lehm
593;872;629;Eisen
674;872;124;Holz
948;877;347;Lehm
178;878;985;Eisen
654;881;254;Eisen
113;882;482;Eisen
774;882;826;Eisen
131;883;858;Holz
712;884;332;Holz
89;887;430;Eisen
337;887;447;Lehm
412;887;597;Lehm
402;888;722;Lehm
646;888;491;Holz
395;890;860;Eisen
640;892;176;Holz
791;894;995;Eisen
72;895;365;Eisen
553;895;199;Eisen
573;895;396;Lehm
727;896;760;Holz
202;897;201;Eisen
207;897;209;Holz
545;898;474;Lehm
621;898;837;Lehm
351;899;199;Lehm
393;899;155;Eisen
505;899;307;Lehm
312;900;159;Eisen
451;900;348;Holz
632;900;716;Holz
937;900;592;Lehm
39;901;898;Eisen
586;901;835;Lehm
522;903;569;Eisen
722;903;761;Holz
928;903;667;Lehm
16;909;771;Lehm
245;909;174;Lehm
968;909;210;Lehm
206;910;761;Lehm
511;911;664;Eisen
784;911;792;Eisen
818;911;158;Eisen
862;911;227;Eisen
22;913;542;Holz
396;913;218;Eisen
105;914;591;Eisen
329;914;755;Eisen
377;914;718;Lehm
931;914;548;Holz
109;915;777;Eisen
668;915;575;Lehm
820;915;818;Holz
873;915;588;Lehm
914;915;691;Eisen
638;917;186;Lehm
934;917;917;Lehm
299;920;484;Lehm
323;920;866;Eisen
998;922;434;Holz
898;924;118;Eisen
362;925;539;Eisen
169;927;283;Lehm
219;928;400;Eisen
443;928;346;Holz
530;928;364;Lehm
77;929;490;Holz
748;929;552;Holz
972;930;998;Lehm
229;931;369;Holz
215;932;572;Eisen
513;933;419;Eisen
624;933;539;Lehm
265;935;650;Lehm
304;935;801;Lehm
681;935;496;Eisen
223;936;712;Holz
287;936;469;Lehm
111;940;385;Lehm
328;940;164;Eisen
592;940;541;Eisen
700;941;991;Holz
643;942;157;Lehm
56;943;980;Lehm
358;944;655;Lehm
387;945;117;Eisen
515;945;420;Lehm
64;946;779;Lehm
429;947;608;Holz
594;947;920;Holz
318;948;188;Eisen
374;948;137;Lehm
871;949;885;Holz
25;950;644;Eisen
26;950;201;Eisen
83;950;424;Holz
408;951;917;Holz
572;951;758;Eisen
463;953;351;Holz
476;953;260;Lehm
906;953;163;Lehm
24;958;151;Lehm
938;958;303;Lehm
878;960;401;Holz
102;961;188;Holz
123;961;858;Eisen
988;961;985;Holz
254;965;367;Holz
195;966;253;Eisen
965;966;850;Eisen
112;967;277;Eisen
250;969;905;Eisen
595;969;668;Lehm
917;970;360;Eisen
320;971;311;Eisen
326;971;994;Holz
675;971;124;Eisen
344;972;115;Lehm
426;972;310;Holz
664;972;272;Holz
840;972;665;Holz
235;973;300;Lehm
233;975;124;Holz
286;975;728;Eisen
372;975;823;Lehm
424;976;496;Eisen
493;976;803;Holz
626;976;833;Holz
747;978;310;Eisen
262;979;771;Eisen
236;980;497;Eisen
151;981;557;Eisen
198;981;440;Eisen
567;981;256;Lehm
987;981;269;Lehm
609;983;297;Holz
193;985;148;Eisen
311;985;806;Holz
84;986;724;Eisen
779;986;429;Eisen
524;989;712;Holz
812;989;948;Holz
361;993;128;Lehm
790;993;306;Eisen
108;994;784;Lehm
107;998;696;Eisen
588;998;536;Lehm
775;998;108;Lehm
