id;geplant_am;status;Angreifer;Verteidiger
55;03.07.2018 08:33;Verloren;21;32
56;08.07.2021 08:02;Geplant;8;25
57;14.04.2019 18:04;Verloren;1;32
58;26.10.2019 03:18;Verloren;42;14
59;27.05.2018 08:04;Gewonnen;13;41
60;28.10.2020 23:14;Geplant;36;31
61;08.06.2019 00:55;Gewonnen;35;49
62;03.10.2021 22:03;Gewonnen;37;48
63;04.07.2018 14:45;Verloren;22;35
64;14.05.2020 22:08;Verloren;23;37
65;11.02.2021 21:17;Gewonnen;4;10
66;29.06.2018 08:50;Geplant;10;1
67;14.10.2020 06:26;Verloren;48;2
68;08.03.2019 00:14;Gewonnen;47;40
69;05.06.2018 16:20;Verloren;2;21
70;15.02.2019 18:45;Gewonnen;50;48
71;22.09.2020 14:28;Gewonnen;8;32
72;06.10.2018 08:36;Gewonnen;36;28
73;31.07.2020 05:27;Gewonnen;13;30
74;04.03.2019 07:21;Verloren;45;50
75;26.03.2019 02:10;Gewonnen;3;44
76;04.01.2021 04:51;Geplant;12;10
77;16.09.2020 09:36;Verloren;27;36
78;03.11.2017 16:47;Gewonnen;19;45
79;26.03.2019 08:15;Gewonnen;3;5
80;21.01.2021 08:26;Gewonnen;17;23
81;10.07.2019 03:46;Gewonnen;32;32
82;18.08.2021 22:54;Geplant;50;40
83;13.06.2018 07:52;Verloren;24;19
84;23.11.2017 20:13;Verloren;45;22
85;24.12.2020 11:02;Geplant;3;10
86;01.11.2018 15:55;Geplant;21;25
87;24.10.2018 13:58;Verloren;42;28
88;03.01.2018 00:38;Verloren;20;37
89;13.06.2017 11:21;Gewonnen;23;11
90;07.02.2021 10:46;Geplant;21;43
91;17.06.2018 04:23;Gewonnen;24;16
92;10.10.2019 02:37;Verloren;34;40
93;19.12.2017 05:54;Geplant;33;43
94;14.09.2018 04:44;Geplant;9;12
95;12.07.2017 16:11;Gewonnen;5;27
96;16.10.2020 19:53;Geplant;20;6
97;27.09.2021 17:30;Gewonnen;18;31
98;09.08.2021 13:23;Verloren;25;35
99;14.11.2018 18:56;Gewonnen;50;23
100;07.03.2018 19:23;Geplant;35;29
101;29.08.2019 01:20;Verloren;8;43
102;31.08.2018 00:40;Gewonnen;43;38
103;19.08.2018 06:50;Gewonnen;31;44
104;10.08.2017 18:05;Gewonnen;2;26
105;22.11.2021 03:04;Geplant;2;4
106;17.10.2021 09:38;Gewonnen;47;32
107;28.08.2018 15:19;Verloren;24;37
108;20.04.2019 00:16;Verloren;41;35
109;27.06.2019 11:33;Gewonnen;13;38
110;18.06.2020 08:41;Gewonnen;16;34
111;24.11.2018 10:14;Geplant;24;20
112;11.02.2020 06:03;Gewonnen;5;32
113;26.10.2019 05:20;Geplant;27;41
114;19.09.2019 09:11;Verloren;23;16
115;26.10.2021 05:58;Gewonnen;48;35
116;09.07.2017 18:11;Gewonnen;8;17
117;29.12.2018 19:54;Gewonnen;17;12
118;19.12.2018 10:13;Gewonnen;24;12
119;27.02.2019 08:12;Verloren;18;14
120;21.05.2020 22:07;Gewonnen;8;33
121;17.12.2018 06:53;Verloren;29;46
122;07.08.2019 03:51;Geplant;9;44
123;26.04.2021 15:34;Gewonnen;14;35
124;10.09.2018 01:19;Verloren;3;7
125;15.08.2020 23:35;Verloren;43;13
126;20.09.2020 14:43;Gewonnen;18;18
127;12.08.2021 03:38;Verloren;8;38
128;22.02.2021 22:29;Gewonnen;8;6
129;25.04.2018 15:04;Geplant;14;37
130;23.08.2017 09:34;Verloren;27;12
131;30.06.2017 20:48;Verloren;28;25
132;29.11.2020 21:42;Verloren;4;8
133;20.09.2021 19:43;Geplant;38;26
134;29.07.2021 08:15;Geplant;20;39
135;13.12.2017 07:04;Geplant;27;44
136;05.11.2018 18:14;Geplant;13;16
137;10.01.2018 01:57;Geplant;25;4
138;28.12.2018 02:43;Verloren;12;19
139;03.08.2020 03:32;Gewonnen;13;35
140;13.05.2017 18:32;Geplant;34;27
141;20.02.2020 02:37;Gewonnen;9;13
142;04.07.2021 22:34;Geplant;32;26
143;20.07.2020 13:13;Verloren;45;37
144;17.11.2017 17:30;Gewonnen;48;7
145;08.01.2020 14:59;Verloren;28;15
146;19.06.2018 21:46;Gewonnen;13;2
147;14.12.2020 19:39;Gewonnen;18;15
148;24.08.2020 21:38;Gewonnen;4;48
149;21.08.2020 14:44;Geplant;10;17
150;18.01.2018 16:53;Verloren;28;40
151;08.09.2020 18:39;Gewonnen;35;18
152;24.12.2017 20:06;Gewonnen;32;35
153;03.06.2019 01:57;Geplant;39;37
154;14.12.2017 06:57;Verloren;23;6
155;28.05.2021 23:36;Verloren;33;1
156;02.02.2020 14:35;Verloren;20;30
157;27.11.2018 20:53;Geplant;35;28
158;09.02.2019 15:21;Geplant;36;40
159;06.12.2020 19:23;Verloren;6;47
160;15.11.2018 07:47;Geplant;47;30
161;04.12.2019 23:28;Gewonnen;46;8
162;24.07.2020 13:44;Geplant;7;4
163;25.12.2020 03:46;Geplant;20;39
164;13.09.2019 14:29;Geplant;49;32
165;11.12.2019 16:34;Verloren;23;22
166;28.08.2020 02:22;Verloren;15;10
167;26.06.2020 16:07;Verloren;32;19
168;28.03.2021 13:44;Gewonnen;13;2
169;22.11.2021 08:48;Verloren;33;18
170;03.02.2021 06:31;Verloren;13;5
171;06.12.2020 08:08;Geplant;34;30
172;25.04.2019 14:56;Verloren;42;27
173;10.06.2018 21:14;Verloren;5;13
174;14.07.2017 07:58;Verloren;39;28
175;21.12.2019 19:18;Gewonnen;22;16
176;19.06.2021 23:30;Geplant;24;3
177;22.06.2017 20:19;Geplant;42;17
178;23.01.2019 23:15;Verloren;19;46
179;31.07.2017 22:44;Verloren;11;15
180;24.05.2021 19:26;Geplant;45;45
181;23.07.2019 21:34;Geplant;49;23
182;12.08.2017 06:03;Geplant;11;39
183;17.08.2021 19:26;Geplant;29;8
184;15.12.2017 20:48;Gewonnen;18;23
185;15.07.2021 09:20;Verloren;35;27
186;18.07.2017 06:56;Verloren;19;48
187;06.12.2019 11:07;Geplant;50;1
188;12.01.2021 18:59;Verloren;36;26
189;22.09.2019 09:07;Verloren;49;1
190;14.01.2020 22:13;Geplant;11;50
191;20.05.2018 01:21;Gewonnen;11;47
192;09.08.2021 19:43;Verloren;7;3
193;11.04.2018 19:37;Geplant;35;5
194;22.09.2018 06:41;Geplant;8;50
195;15.08.2018 01:48;Geplant;20;43
196;13.11.2020 15:43;Gewonnen;41;3
197;26.09.2019 13:10;Gewonnen;47;41
198;29.01.2019 06:27;Verloren;48;15
199;20.04.2018 21:15;Verloren;1;41
200;31.01.2020 23:07;Gewonnen;35;30
201;25.03.2018 00:23;Gewonnen;28;25
202;29.08.2017 18:26;Geplant;23;17
203;04.07.2021 18:00;Verloren;31;5
204;29.12.2018 12:14;Verloren;38;19
205;15.08.2020 21:51;Verloren;7;44
206;03.03.2020 16:38;Geplant;24;4
207;23.12.2017 06:03;Gewonnen;14;21
208;23.04.2018 22:59;Verloren;9;12
209;17.04.2018 04:34;Verloren;43;33
210;06.02.2020 09:22;Gewonnen;17;39
211;10.03.2021 16:11;Verloren;28;29
212;29.01.2018 17:02;Geplant;40;21
213;24.05.2019 23:35;Gewonnen;11;27
214;04.07.2019 16:06;Verloren;40;26
215;08.06.2018 16:19;Verloren;28;37
216;26.05.2019 15:03;Geplant;35;20
217;27.05.2020 19:05;Geplant;43;37
218;02.05.2020 00:06;Verloren;20;50
219;21.09.2021 07:53;Geplant;8;16
220;08.06.2019 01:13;Geplant;33;11
221;06.09.2019 23:36;Geplant;33;7
222;15.06.2020 01:48;Gewonnen;8;32
223;17.08.2020 01:31;Geplant;7;14
224;28.07.2018 00:49;Gewonnen;24;24
225;14.11.2017 15:38;Verloren;44;22
226;18.10.2021 04:24;Verloren;38;32
227;28.11.2017 06:21;Verloren;27;10
228;23.08.2017 13:50;Gewonnen;46;28
229;10.08.2017 14:02;Geplant;40;5
230;22.10.2019 03:36;Verloren;35;21
231;23.07.2018 11:34;Geplant;14;1
232;22.06.2020 16:29;Gewonnen;42;31
233;20.11.2017 15:52;Verloren;5;13
234;06.04.2020 19:10;Geplant;32;37
235;27.08.2019 21:02;Gewonnen;12;15
236;23.10.2017 10:26;Geplant;16;12
237;01.12.2020 06:58;Geplant;47;14
238;15.07.2021 01:56;Verloren;50;31
239;17.04.2020 10:59;Geplant;28;7
240;11.09.2018 00:00;Geplant;1;14
241;29.11.2019 09:03;Geplant;1;22
242;12.10.2017 20:45;Geplant;20;33
243;05.08.2021 19:35;Verloren;5;46
244;26.04.2018 20:18;Gewonnen;18;38
245;09.08.2017 13:31;Geplant;4;42
246;20.06.2021 20:06;Geplant;37;23
247;16.05.2020 07:59;Gewonnen;38;20
248;16.03.2018 00:01;Gewonnen;15;29
249;04.01.2018 21:20;Gewonnen;28;47
250;04.11.2020 13:11;Geplant;2;7
251;22.11.2019 12:25;Verloren;31;25
252;23.01.2018 10:24;Geplant;40;3
253;28.10.2017 10:46;Geplant;2;36
254;27.03.2018 07:03;Verloren;2;1
255;07.12.2020 04:25;Gewonnen;24;42
256;28.11.2017 03:22;Gewonnen;17;26
257;17.07.2020 18:31;Gewonnen;1;45
258;27.04.2021 14:09;Verloren;31;36
259;23.05.2017 20:07;Gewonnen;7;32
260;20.11.2020 19:57;Geplant;19;16
261;11.12.2020 11:26;Gewonnen;30;45
262;13.04.2019 12:55;Gewonnen;3;33
263;03.12.2017 14:54;Gewonnen;4;36
264;24.07.2017 04:08;Gewonnen;24;50
265;14.10.2021 14:32;Gewonnen;32;14
266;05.09.2021 15:55;Gewonnen;2;13
267;16.11.2017 21:42;Gewonnen;24;9
268;13.06.2018 10:07;Gewonnen;38;24
269;01.08.2017 08:23;Gewonnen;10;24
270;08.04.2021 04:45;Verloren;23;37
271;03.11.2019 00:51;Verloren;6;19
272;03.04.2019 06:43;Geplant;32;44
273;03.08.2018 00:36;Verloren;32;41
274;13.03.2019 15:07;Verloren;12;36
275;12.10.2020 22:47;Geplant;3;17
276;10.04.2020 08:29;Verloren;39;49
277;01.04.2021 03:40;Verloren;14;10
278;03.01.2019 00:45;Geplant;40;39
279;17.08.2019 22:51;Geplant;8;43
280;17.08.2020 04:25;Geplant;22;11
281;16.01.2019 20:36;Gewonnen;3;30
282;26.09.2018 14:30;Verloren;22;3
283;25.12.2019 23:58;Gewonnen;39;45
284;24.01.2021 05:18;Geplant;9;29
285;05.09.2019 03:32;Geplant;45;19
286;08.10.2021 23:07;Verloren;45;35
287;25.11.2020 03:40;Verloren;9;39
288;08.10.2019 12:31;Gewonnen;29;32
289;09.09.2020 18:29;Verloren;34;42
290;10.05.2020 20:35;Verloren;49;20
291;03.03.2019 10:44;Gewonnen;45;16
292;30.09.2018 21:12;Geplant;41;41
293;25.08.2019 15:09;Verloren;10;48
294;10.06.2019 13:15;Gewonnen;20;12
295;10.11.2020 06:34;Gewonnen;14;25
296;10.09.2020 12:29;Verloren;30;1
297;26.03.2021 01:05;Verloren;30;25
298;03.09.2021 13:37;Geplant;23;7
299;08.03.2021 18:18;Verloren;47;15
300;30.01.2021 15:07;Gewonnen;38;47
301;15.08.2019 14:15;Verloren;4;32
302;20.02.2019 23:13;Gewonnen;44;45
303;03.03.2019 23:52;Verloren;16;13
304;01.10.2019 01:57;Gewonnen;49;10
305;30.09.2019 16:11;Geplant;39;38
306;08.08.2019 14:16;Verloren;5;1
307;22.04.2021 05:29;Geplant;27;33
308;14.07.2017 12:52;Gewonnen;44;28
309;17.02.2021 02:27;Geplant;17;34
310;04.02.2021 20:57;Geplant;20;17
311;10.06.2017 16:46;Verloren;44;45
312;10.05.2020 15:48;Geplant;14;37
313;08.09.2021 09:10;Verloren;1;8
314;27.05.2021 04:43;Gewonnen;13;5
315;16.06.2021 12:30;Verloren;1;4
316;01.04.2021 03:06;Geplant;44;1
317;02.09.2019 15:09;Gewonnen;44;8
318;01.02.2020 05:31;Verloren;24;38
319;03.01.2020 02:18;Geplant;5;3
320;24.08.2020 22:38;Geplant;12;39
321;22.08.2021 10:06;Gewonnen;9;3
322;16.09.2021 02:58;Verloren;13;13
323;26.09.2017 20:55;Verloren;13;49
324;15.09.2017 21:52;Geplant;24;18
325;25.06.2019 16:12;Geplant;15;29
326;18.10.2019 15:40;Verloren;49;32
327;05.08.2020 06:52;Verloren;3;12
328;21.11.2021 11:15;Geplant;2;36
329;04.04.2021 17:21;Verloren;12;24
330;05.06.2018 10:09;Geplant;33;27
331;22.04.2019 20:04;Verloren;47;20
332;08.01.2019 06:10;Geplant;44;33
333;11.12.2020 23:07;Verloren;32;34
334;25.08.2017 02:21;Verloren;3;39
335;05.11.2019 14:57;Gewonnen;24;26
336;12.07.2021 23:30;Verloren;48;1
337;14.06.2017 21:01;Geplant;16;3
338;30.01.2018 15:24;Gewonnen;37;48
339;02.07.2019 14:58;Gewonnen;10;1
340;23.03.2020 06:15;Gewonnen;40;48
341;17.09.2017 00:43;Gewonnen;2;3
342;04.04.2019 14:19;Geplant;46;29
343;03.07.2017 03:25;Gewonnen;16;24
344;16.09.2018 23:56;Verloren;25;7
345;19.11.2017 15:18;Verloren;39;4
346;14.03.2021 12:21;Gewonnen;2;19
347;11.07.2019 17:51;Gewonnen;20;13
348;06.06.2020 14:47;Gewonnen;12;43
349;23.12.2019 19:13;Geplant;31;7
350;04.10.2018 04:02;Verloren;3;3
351;17.09.2019 20:45;Gewonnen;20;10
352;03.03.2020 21:55;Geplant;48;3
353;11.08.2020 22:18;Gewonnen;38;41
354;18.07.2019 19:20;Geplant;30;20
355;08.06.2018 01:28;Gewonnen;31;44
356;12.02.2018 05:58;Verloren;43;46
357;15.10.2020 11:59;Geplant;22;9
358;18.07.2021 09:22;Gewonnen;3;7
359;07.08.2020 13:59;Verloren;40;23
360;26.04.2018 12:54;Geplant;49;29
361;06.01.2018 20:44;Gewonnen;17;33
362;26.07.2017 06:05;Geplant;49;13
363;22.02.2021 04:21;Geplant;21;36
364;16.12.2020 18:48;Gewonnen;15;24
365;28.10.2018 19:41;Geplant;29;49
366;25.11.2018 03:41;Verloren;12;41
367;16.09.2018 21:16;Gewonnen;49;46
368;11.04.2020 23:54;Gewonnen;41;25
369;07.10.2017 01:16;Verloren;12;18
370;06.02.2018 12:29;Verloren;45;24
371;18.01.2021 22:15;Gewonnen;44;49
372;21.08.2020 22:22;Verloren;46;26
373;10.11.2018 17:38;Gewonnen;40;1
374;26.12.2020 23:16;Gewonnen;21;12
375;19.12.2020 22:27;Gewonnen;43;43
376;30.08.2019 21:41;Geplant;27;16
377;29.07.2020 16:51;Gewonnen;50;31
378;18.05.2019 23:56;Geplant;45;16
379;02.05.2018 14:56;Gewonnen;16;41
380;09.08.2019 16:58;Geplant;27;21
381;11.06.2019 21:15;Gewonnen;37;47
382;08.06.2019 12:49;Geplant;33;47
383;01.06.2019 11:56;Geplant;3;30
384;05.08.2021 09:15;Geplant;5;4
385;25.01.2020 16:18;Gewonnen;28;7
386;03.06.2021 22:00;Gewonnen;38;48
387;05.09.2017 01:00;Verloren;10;4
388;25.05.2018 02:56;Gewonnen;27;17
389;20.06.2017 14:36;Geplant;2;15
390;22.05.2018 09:51;Verloren;30;20
391;30.12.2019 17:24;Geplant;36;45
392;11.08.2019 17:57;Geplant;7;19
393;28.01.2020 11:13;Verloren;13;26
394;13.07.2017 07:25;Verloren;17;37
395;07.09.2021 19:08;Verloren;8;41
396;21.11.2021 11:01;Geplant;37;4
397;23.06.2021 14:45;Geplant;17;30
398;20.06.2021 07:18;Gewonnen;6;11
399;24.01.2020 06:44;Geplant;12;27
400;02.07.2017 09:23;Gewonnen;16;38
401;06.05.2018 08:17;Verloren;9;18
402;25.06.2021 09:56;Geplant;46;1
403;29.01.2020 04:05;Geplant;10;22
404;20.01.2018 05:29;Verloren;14;49
405;01.09.2017 12:56;Gewonnen;45;30
406;26.12.2017 08:14;Geplant;1;41
407;14.12.2020 21:48;Gewonnen;40;49
408;16.03.2021 11:56;Geplant;1;12
409;11.06.2020 09:49;Verloren;14;37
410;19.05.2018 23:36;Verloren;31;21
411;22.06.2019 18:52;Verloren;12;50
412;11.07.2018 12:58;Gewonnen;21;6
413;23.07.2020 10:40;Gewonnen;3;46
414;24.02.2019 07:00;Gewonnen;4;35
415;05.06.2020 05:28;Geplant;20;25
416;12.09.2021 07:00;Gewonnen;4;41
417;03.10.2017 04:54;Geplant;21;47
418;29.08.2018 04:21;Gewonnen;49;27
419;27.10.2020 12:24;Verloren;48;27
420;02.03.2018 16:16;Verloren;48;15
421;17.12.2020 12:19;Geplant;17;32
422;24.05.2020 04:07;Geplant;11;14
423;06.12.2019 08:53;Gewonnen;6;28
424;14.06.2018 00:35;Verloren;21;9
425;26.01.2020 17:44;Verloren;16;7
426;30.07.2017 23:13;Geplant;16;44
427;16.09.2018 01:03;Gewonnen;10;11
428;23.12.2020 00:13;Verloren;3;14
429;12.01.2019 18:16;Gewonnen;46;20
430;07.06.2020 23:09;Geplant;34;30
431;02.03.2019 11:40;Verloren;24;24
432;30.08.2019 14:07;Gewonnen;21;43
433;10.08.2018 11:38;Verloren;11;39
434;23.01.2019 05:11;Verloren;11;31
435;24.05.2018 13:54;Verloren;3;8
436;24.02.2018 18:15;Verloren;27;13
437;13.01.2018 18:30;Gewonnen;2;20
438;15.03.2018 07:40;Geplant;32;27
439;07.05.2020 22:26;Gewonnen;12;48
440;23.03.2021 05:22;Geplant;14;28
441;22.10.2018 05:09;Geplant;6;14
442;08.11.2018 10:40;Verloren;44;6
443;23.09.2020 15:39;Geplant;30;36
444;28.11.2020 14:34;Geplant;49;4
445;02.07.2017 16:31;Verloren;41;20
446;23.04.2021 08:31;Gewonnen;29;43
447;26.04.2020 09:27;Geplant;33;12
448;28.08.2018 23:04;Gewonnen;3;15
449;21.04.2018 13:50;Geplant;13;50
450;05.10.2021 02:45;Geplant;8;42
451;14.11.2019 15:12;Verloren;2;14
452;25.02.2020 22:23;Geplant;28;19
453;18.09.2019 04:51;Geplant;38;8
454;15.05.2017 06:37;Verloren;8;17
455;29.10.2017 17:25;Verloren;23;34
456;30.03.2019 23:09;Gewonnen;20;31
457;06.05.2019 11:07;Gewonnen;1;46
458;04.10.2018 14:29;Geplant;47;9
459;07.12.2019 14:53;Geplant;30;13
460;29.12.2017 13:58;Gewonnen;14;1
461;17.08.2017 07:50;Verloren;41;18
462;30.07.2018 08:13;Gewonnen;25;42
463;14.01.2020 15:25;Verloren;50;45
464;23.06.2017 13:49;Gewonnen;27;40
465;22.06.2019 20:12;Gewonnen;18;40
466;09.06.2019 03:03;Verloren;2;21
467;14.06.2020 12:43;Geplant;50;9
468;09.05.2017 02:08;Verloren;40;49
469;14.09.2017 14:23;Geplant;16;14
470;21.01.2018 14:02;Verloren;25;42
471;22.04.2021 10:38;Verloren;31;19
472;14.10.2017 11:01;Gewonnen;22;12
473;10.06.2021 11:16;Geplant;31;6
474;08.02.2018 15:11;Geplant;19;7
475;01.02.2018 00:39;Verloren;50;8
476;05.09.2020 15:27;Geplant;45;5
477;21.12.2017 12:01;Verloren;42;2
478;05.06.2021 06:12;Verloren;40;32
479;30.08.2021 04:29;Verloren;15;41
480;27.08.2020 19:57;Gewonnen;41;44
481;27.05.2017 15:59;Geplant;17;45
482;03.03.2020 15:09;Gewonnen;19;2
483;30.07.2017 14:05;Gewonnen;50;41
484;17.11.2020 15:38;Geplant;21;6
485;05.01.2018 04:43;Geplant;34;25
486;26.02.2020 05:02;Gewonnen;32;46
487;01.04.2020 12:35;Geplant;31;15
488;19.06.2017 09:05;Gewonnen;33;14
489;21.06.2020 21:36;Geplant;33;5
490;04.03.2019 10:38;Gewonnen;18;19
491;23.07.2019 16:26;Geplant;28;10
492;01.09.2017 23:27;Gewonnen;48;1
493;01.08.2019 09:40;Geplant;10;16
494;18.11.2017 21:29;Gewonnen;28;28
495;11.03.2020 01:31;Geplant;6;42
496;05.03.2021 13:20;Verloren;24;45
497;21.04.2019 15:36;Gewonnen;7;45
498;31.07.2017 20:37;Verloren;48;4
499;26.04.2021 00:54;Verloren;45;18
500;06.05.2021 15:59;Verloren;39;23
501;18.02.2021 14:09;Gewonnen;19;16
502;01.11.2019 17:34;Gewonnen;36;32
503;25.08.2019 12:40;Geplant;25;48
504;24.08.2017 18:06;Verloren;43;43
505;08.05.2020 19:48;Verloren;46;45
506;03.05.2018 14:39;Gewonnen;31;31
507;22.02.2021 14:39;Verloren;24;50
508;12.05.2017 05:26;Gewonnen;17;30
509;09.08.2020 05:45;Gewonnen;13;5
510;26.04.2021 12:34;Verloren;50;9
511;26.12.2020 11:29;Verloren;41;13
512;17.10.2019 18:48;Geplant;41;32
513;16.01.2019 23:18;Gewonnen;45;30
514;13.03.2019 18:38;Gewonnen;35;3
515;11.12.2020 23:31;Geplant;19;35
516;07.12.2019 03:59;Geplant;32;3
517;17.05.2021 20:52;Geplant;21;6
518;11.09.2021 13:14;Gewonnen;14;45
519;31.01.2019 02:42;Gewonnen;42;16
520;08.05.2018 23:49;Gewonnen;24;32
521;10.10.2019 09:28;Geplant;13;19
522;10.11.2020 17:50;Gewonnen;45;22
523;06.10.2018 03:44;Geplant;13;21
524;16.09.2019 14:57;Gewonnen;18;13
525;26.07.2019 20:53;Geplant;23;48
526;06.08.2017 01:08;Geplant;8;12
527;10.10.2018 20:23;Geplant;10;15
528;04.08.2018 18:29;Verloren;8;9
529;12.06.2019 03:28;Verloren;19;9
530;01.06.2018 06:22;Gewonnen;31;38
531;29.10.2021 09:52;Verloren;23;43
532;09.08.2020 21:18;Gewonnen;21;4
533;27.09.2021 11:36;Gewonnen;42;50
534;01.07.2020 15:41;Geplant;30;50
535;24.03.2018 09:48;Gewonnen;23;39
536;03.05.2021 04:38;Geplant;38;5
537;23.08.2019 09:22;Geplant;24;15
538;15.02.2021 15:22;Gewonnen;4;5
539;15.03.2021 17:14;Gewonnen;23;6
540;09.08.2018 16:50;Gewonnen;34;8
541;25.05.2018 02:26;Verloren;38;11
542;29.01.2018 06:11;Verloren;50;42
543;28.03.2020 05:27;Verloren;50;6
544;26.04.2021 04:13;Verloren;25;26
545;03.12.2019 23:38;Gewonnen;12;10
546;19.03.2018 14:49;Gewonnen;4;49
547;13.07.2017 22:41;Verloren;24;7
548;04.02.2019 22:54;Geplant;19;38
549;22.03.2018 02:02;Gewonnen;29;21
550;27.01.2019 02:30;Gewonnen;8;24
551;10.11.2018 18:17;Gewonnen;35;18
552;13.09.2017 18:33;Geplant;42;44
553;10.02.2019 19:43;Geplant;3;42
554;01.01.2019 20:24;Verloren;22;40
555;06.11.2020 22:31;Geplant;36;38
556;16.10.2017 22:06;Verloren;15;24
557;05.04.2019 05:24;Verloren;14;29
558;01.05.2020 23:42;Verloren;34;15
559;07.09.2019 16:12;Verloren;33;50
560;30.09.2018 10:12;Geplant;24;44
561;30.09.2020 03:32;Gewonnen;41;21
562;13.06.2021 16:13;Gewonnen;9;15
563;18.12.2020 04:44;Verloren;47;37
564;20.08.2020 14:14;Gewonnen;14;44
565;16.11.2017 15:27;Geplant;26;20
566;09.09.2021 09:37;Verloren;20;45
567;06.09.2021 03:23;Verloren;24;44
568;23.07.2019 16:59;Gewonnen;39;14
569;14.07.2021 19:34;Verloren;31;35
570;09.09.2018 17:15;Gewonnen;28;45
571;18.06.2018 07:49;Verloren;14;11
572;05.02.2021 02:33;Geplant;38;5
573;30.04.2020 08:09;Gewonnen;6;36
574;09.07.2017 09:04;Geplant;7;20
575;10.03.2020 13:04;Gewonnen;36;22
576;12.04.2020 10:47;Geplant;45;24
577;15.06.2019 21:39;Verloren;12;32
578;25.12.2020 06:27;Geplant;26;7
579;23.05.2019 05:43;Geplant;36;8
580;08.03.2021 04:52;Geplant;15;29
581;13.05.2017 05:28;Gewonnen;43;20
582;12.02.2019 07:50;Geplant;21;32
583;28.09.2019 11:38;Verloren;5;34
584;05.11.2021 23:34;Verloren;24;37
585;25.10.2018 08:09;Gewonnen;22;27
586;01.05.2019 20:36;Geplant;18;12
587;03.01.2018 01:29;Verloren;8;13
588;27.10.2019 02:26;Verloren;40;16
589;22.07.2020 19:06;Verloren;21;23
590;17.03.2018 00:52;Gewonnen;20;14
591;18.12.2019 10:20;Geplant;43;37
592;11.04.2018 15:26;Verloren;48;33
593;01.04.2018 08:10;Geplant;24;18
594;13.11.2021 19:10;Verloren;15;22
595;06.08.2017 02:02;Geplant;10;20
596;04.10.2020 19:52;Geplant;31;8
597;21.01.2021 01:48;Verloren;13;1
598;03.03.2020 07:40;Verloren;1;25
599;22.08.2019 01:03;Verloren;3;36
600;28.09.2020 11:49;Gewonnen;35;13
601;07.05.2019 13:35;Geplant;22;25
602;09.04.2021 00:01;Geplant;9;3
603;11.09.2017 22:27;Gewonnen;38;36
604;26.03.2020 02:21;Gewonnen;7;17
605;05.05.2018 04:43;Geplant;1;14
606;25.07.2021 13:54;Geplant;24;17
607;13.09.2021 10:12;Verloren;6;12
608;28.02.2018 05:31;Geplant;38;7
609;13.06.2018 10:03;Verloren;39;6
610;23.09.2018 07:52;Verloren;25;9
611;03.11.2020 21:51;Gewonnen;4;23
612;31.07.2021 10:47;Verloren;17;42
613;01.11.2019 14:04;Geplant;47;37
614;17.03.2018 00:32;Verloren;35;22
615;02.08.2018 09:31;Gewonnen;23;20
